Entity,Code,Day,stringency_index
Philippines,PHL,2020-12-26,64.81
Philippines,PHL,2020-12-27,64.81
Philippines,PHL,2020-12-28,64.81
Philippines,PHL,2020-12-29,55.09
Philippines,PHL,2020-12-30,55.09
Philippines,PHL,2020-12-31,55.09
Philippines,PHL,2021-01-01,55.09
Philippines,PHL,2021-01-02,55.09
Philippines,PHL,2021-01-03,55.09
Philippines,PHL,2021-01-04,55.09
Philippines,PHL,2021-01-05,55.09
Philippines,PHL,2021-01-06,55.09
Philippines,PHL,2021-01-07,55.09
Philippines,PHL,2021-01-08,55.09
Philippines,PHL,2021-01-09,55.09
Philippines,PHL,2021-01-10,55.09
Philippines,PHL,2021-01-11,55.09
Philippines,PHL,2021-01-12,63.43
Philippines,PHL,2021-01-13,63.43
Philippines,PHL,2021-01-14,63.43
Philippines,PHL,2021-01-15,63.43
Philippines,PHL,2021-01-16,63.43
Philippines,PHL,2021-01-17,63.43
Philippines,PHL,2021-01-18,63.43
Philippines,PHL,2021-01-19,63.43
Philippines,PHL,2021-01-20,63.43
Philippines,PHL,2021-01-21,63.43
Philippines,PHL,2021-01-22,63.43
Philippines,PHL,2021-01-23,63.43
Philippines,PHL,2021-01-24,63.43
Philippines,PHL,2021-01-25,63.43
Philippines,PHL,2021-01-26,63.43
Philippines,PHL,2021-01-27,63.43
Philippines,PHL,2021-01-28,63.43
Philippines,PHL,2021-01-29,63.43
Philippines,PHL,2021-01-30,63.43
Philippines,PHL,2021-01-31,63.43
Philippines,PHL,2021-02-01,60.65
Philippines,PHL,2021-02-02,60.65
Philippines,PHL,2021-02-03,60.65
Philippines,PHL,2021-02-04,60.65
Philippines,PHL,2021-02-05,60.65
Philippines,PHL,2021-02-06,60.65
Philippines,PHL,2021-02-07,60.65
Philippines,PHL,2021-02-08,60.65
Philippines,PHL,2021-02-09,62.5
Philippines,PHL,2021-02-10,62.5
Philippines,PHL,2021-02-11,62.5
Philippines,PHL,2021-02-12,62.5
Philippines,PHL,2021-02-13,62.5
Philippines,PHL,2021-02-14,62.5
Philippines,PHL,2021-02-15,62.5
Philippines,PHL,2021-02-16,62.5
Philippines,PHL,2021-02-17,62.5
Philippines,PHL,2021-02-18,62.5
Philippines,PHL,2021-02-19,62.5
Philippines,PHL,2021-02-20,62.5
Philippines,PHL,2021-02-21,62.5
Philippines,PHL,2021-02-22,75.46
Philippines,PHL,2021-02-23,75.46
Philippines,PHL,2021-02-24,75.46
Philippines,PHL,2021-02-25,75.46
Philippines,PHL,2021-02-26,75.46
Philippines,PHL,2021-02-27,75.46
Philippines,PHL,2021-02-28,75.46
Philippines,PHL,2021-03-01,67.13
Philippines,PHL,2021-03-02,67.13
Philippines,PHL,2021-03-03,67.13
Philippines,PHL,2021-03-04,67.13
Philippines,PHL,2021-03-05,67.13
Philippines,PHL,2021-03-06,67.13
Philippines,PHL,2021-03-07,67.13
Philippines,PHL,2021-03-08,67.13
Philippines,PHL,2021-03-09,67.13
Philippines,PHL,2021-03-10,67.13
